City,Street,Community,FinalPrice,Period_of_Transaction,Number_of_Bedrooms,Number_of_Livlingrooms,Number_of_Kitchens,Number_of_Bathrooms,Heading,Listing_Price,Year_of_Construction,Area,Price_per_squaremeter,Elevator,Floorlevel,Decoration
Hangzhou,Nanxing,Qiutaonanyuan,2.7,85,2,1,1,1,South   ,2.86,1996,56.1㎡          ,48129,No           ,High           ,Mediocre     
Hangzhou,Nanxing,Binjiangqiantangyinxiang,10,163,4,2,1,3,South   ,17.2,2016,221.56㎡          ,45135,Yes           ,Mid           ,Fine     
Hangzhou,Nanxing,Fenghuangbeiyuan,4,32,3,1,1,1,South   ,4.2,1999,78.49㎡          ,50962,No           ,Low           ,Mediocre     
Hangzhou,Nanxing,Chunjianghuayue,6.5,60,3,2,1,2,South   ,9.2,2006,165.59㎡          ,39254,Yes           ,Mid           ,Mediocre     
Hangzhou,Nanxing,Qiutaonanyuan,1.7,70,1,1,1,1,South   ,1.75,1996,34.97㎡          ,48614,No           ,High           ,Mediocre     
Hangzhou,Nanxing,Fenghuangchengguangchang,2,238,2,2,1,1,South   ,2.9,2008,104㎡          ,19231,Yes           ,Mid           ,Mediocre     
Hangzhou,Nanxing,Chunjianghuayue,4,26,1,1,1,1,South   ,4.2,2007,69.55㎡          ,57513,Yes           ,Mid         ,Mediocre     
Hangzhou,Nanxing,Fenghuangchengguangchang,3,118,3,2,1,2,South   ,4.2,2008,139.7㎡          ,21475,Yes           ,Low           ,Fine     
Hangzhou,Nanxing,Kuangduzixuan,3.98,232,2,2,1,1,South   ,5.8,2011,88.73㎡          ,44856,Yes           ,High         ,Fine     
Hangzhou,Nanxing,Fenghuangchengguangchang,3,106,3,2,1,1,South   ,4.12,2008,140.48㎡          ,21356,Yes           ,Low           ,Mediocre     
Hangzhou,Nanxing,Chunjiangmingyuan,7.7,9,3,2,1,2,South   ,7.8,2007,136.43㎡          ,56440,Yes           ,Mid           ,Mediocre     
Hangzhou,Jinjiang,Linjiangfengfangongyu,4,176,2,1,1,1,South   ,4.65,2000,85.36㎡          ,46861,Yes           ,Mid       ,Mediocre     
Hangzhou,Jinjiang,Jingjiangchengshihuayuan,0.8,109,1,0,1,1,South   ,1.2,2007,42.05㎡          ,19025,Yes           ,Low       ,Mediocre     
Hangzhou,Jinjiang,Shangzhujinzuo,1,9,2,1,1,1,East  ,1.26,2009,41.14㎡          ,24308,Yes           ,Mid           ,Mediocre     
Hangzhou,Jinjiang,Wangjiangjiayuandongyuan,3.09,4,2,1,1,1,South   ,3.3,2005,61.8㎡          ,50000,No           ,Low           ,Mediocre     
Hangzhou,Jinjiang,Binjiangxinyuan,3.53,58,3,1,1,1,South   ,3.55,1998,76.79㎡          ,45970,No           ,High           ,Mediocre     
Hangzhou,Jinjiang,Binjiangxinyuan,2,42,1,1,1,1,South   ,2.68,1998,44.46㎡          ,44985,No           ,Mid           ,Mediocre     
Hangzhou,Jinjiang,Linjiangfengfangongyu,4.45,24,3,1,1,2,South   ,4.5,2000,87㎡          ,51150,Yes           ,High     ,Mediocre     
Hangzhou,Jinjiang,Jinjiangjiayuanjiuyuan,3.75,91,3,1,1,1,South   ,4.1,2002,80.18㎡          ,46770,Yes           ,Mid           ,Mediocre     
Hangzhou,Jinjiang,Jinjianghuayuanbayuan,2,24,1,1,1,1,South   ,2.5,2003,45.84㎡          ,43631,No           ,High           ,Mediocre     
Hangzhou,Jinjiang,Jinjiangjiayuanqiyuan,3.8,60,2,2,1,2,South   ,4.2,2000,82.47㎡          ,46078,Yes           ,Mid           ,None     
Hangzhou,Jinjiang,Shijifang,4.8,225,3,2,1,1,South   ,5.05,1998,99.92㎡          ,48039,No           ,High           ,Mediocre     
Hangzhou,Jinjiang,Shijifang,3.68,11,3,1,1,1,South  ,3.98,1998,68.31㎡          ,53873,No           ,Mid          ,Fine     
Hangzhou,Jinjiang,Binjiangxinyuan,2.8,58,2,1,1,1,South   ,3.2,1998,55.82㎡          ,50162,No           ,High         ,Fine     
Hangzhou,Jinjiang,Qiantangmingdu,5.95,35,3,2,1,2,South   ,6.3,2005,144.09㎡          ,41294,Yes           ,Mid         ,Mediocre     
Hangzhou,Jinjiang,Linjiangfengfangongyu,4.55,84,2,2,1,1,East   ,4.6,2000,85.36㎡          ,53304,Yes           ,Mid         ,Fine     
Hangzhou,Jinjiang,Binjiangxinyuan,3.46,246,3,1,1,1,South   ,3.5,1998,76.7㎡          ,45111,No           ,Low       ,None     
Hangzhou,Jinjiang,Jinjianghuayuanliuyuan,3.15,81,2,1,1,1,South   ,3.5,2004,60.7㎡          ,51895,No           ,Mid         ,Fine     
Hangzhou,Jinjiang,Jinjiangjiayuansiyuan,2.175,74,1,1,1,1,South   ,2.2,2002,38.72㎡          ,56173,No           ,High         ,Mediocre     
Hangzhou,Jinjiang,Binjiangjiayuan,3.83,92,3,2,1,1,South   ,3.88,1997,79.3㎡          ,48298,No           ,Low         ,Mediocre     
Hangzhou,Jinjiang,Binjiangxinyuan,1.8,26,1,1,1,1,South   ,2.3,1998,40.06㎡          ,44933,No           ,High        ,Mediocre     
Hangzhou,Jinjiang,Qianjiangshidaigongyu,4.4,213,2,2,1,1,South   ,4.7,2007,96.18㎡          ,45748,Yes           ,Low     ,Mediocre     
Hangzhou,Jinjiang,Binjiangxinyuan,3.25,69,2,2,1,1,South   ,3.3,1998,71.03㎡          ,45756,No           ,High       ,Mediocre     
Hangzhou,Jinjiang,Hualongjiayuan,4.5,134,3,2,1,1,South   ,4.7,1998,99.42㎡          ,45263,No           ,Mid      ,Mediocre     
Hangzhou,Jinjiang,Binjiangjiayuan,4,203,3,1,1,1,South   ,4.3,1999,90.44㎡          ,44229,No           ,High        ,Fine     
Hangzhou,Jinjiang,Hualongjiayuan,5,182,3,1,1,1,South   ,5.2,1998,104.41㎡          ,47889,No           ,Low        ,Mediocre     
Hangzhou,Jinjiang,Wangjiangjiayuandongyuan,1.5,68,1,1,1,1,South   ,2.1,2005,39.65㎡          ,37832,No           ,Low       ,Mediocre     
Hangzhou,Jinjiang,Yaojiangfucun,3.6,155,2,1,1,1,South   ,3.65,1998,73.16㎡          ,49208,No           ,High        ,Mediocre     
Hangzhou,Jinjiang,Wujiangjiayuaneryuan,2.665,234,1,1,1,1,South   ,2.8,2012,55.35㎡          ,48149,Yes           ,Low      ,Mediocre     
Hangzhou,Jinjiang,Oujianggongyu,2.94,15,2,1,1,1,South   ,2.98,1998,56.11㎡          ,52398,No           ,Low      ,Mediocre     
Hangzhou,Jinjiang,Binjiangjiayuan,3.97,99,3,1,1,1,South   ,4,1997,76.22㎡          ,52087,No           ,Mid     ,Mediocre     
Hangzhou,Jinjiang,Wangjiangjiayuandongyuan,1.9,101,1,1,1,1,East   ,2.6,2005,54.98㎡          ,34559,No           ,High     ,Mediocre     
Hangzhou,Jinjiang,Jinjianghuayuanliuyuan,3.5,111,2,1,1,1,South  ,3.6,2004,67.85㎡          ,51585,No           ,Mid     ,Fine     
Hangzhou,Jinjiang,Jinjianghuayuanbayuan,2.8,213,2,1,1,1,South   ,2.82,2002,52.53㎡          ,53303,No           ,Mid        ,Mediocre     
Hangzhou,Jinjiang,Yaojiangfucun,4,41,3,1,1,1,South   ,4.65,1998,92.91㎡          ,43053,No           ,Low      ,Mediocre     
Hangzhou,Jinjiang,Tianfuhuayuan,4.29,12,2,2,1,2,South   ,4.35,1999,86.5㎡          ,49596,No           ,Mid        ,Mediocre     
Hangzhou,Jinjiang,Shangzhujinzuo,0.78,8,1,1,1,1,West   ,1.1,2009,41.14㎡          ,18960,Yes           ,High        ,Mediocre     
Hangzhou,Jinjiang,Jinjiangjiayuanwuyuan,3.115,86,2,1,1,1,South  ,3.15,2000,60.88㎡          ,51167,No           ,High        ,Mediocre     
Hangzhou,Jinjiang,Hualongjiayuan,4.23,10,3,1,1,1,South   ,4.3,1998,82.5㎡          ,51273,No           ,Mid        ,Mediocre     
Hangzhou,Jinjiang,Wangjiangjiayuandongyuan,2.76,15,1,1,1,1,South ,2.85,2005,55.23㎡          ,49973,No           ,Mid         ,Fine     
Hangzhou,Jinjiang,Jingjiangchengshihuayuan,0.85,7,1,1,1,1,West   ,1.15,2007,42.22㎡          ,20133,Yes           ,Mid       ,Mediocre     
Hangzhou,Jinjiang,Wenhuayuan,3,46,2,1,1,1,South   ,2.96,1998,59.22㎡          ,50659,No           ,Mid         ,Mediocre     
Hangzhou,Jinjiang,Jinjiangjiayuanqiyuan,2.29,215,1,1,1,1,South   ,2.35,2000,45.63㎡          ,50187,No           ,High   ,Mediocre     
Hangzhou,Jinjiang,Xinchengfang,1.97,14,1,0,1,1,East   ,2.1,1998,33.96㎡          ,58010,No           ,Low      ,Mediocre     
Hangzhou,Jinjiang,Jinjiangjiayuansiyuan,3,29,2,1,1,1,East   ,3.53,2002,69.42㎡          ,43216,Yes           ,Mid    ,Fine     
Hangzhou,Hubin,Sanyuanfangxiang,1,14,1,1,1,1,South   ,2,2000,32.84㎡          ,30451,Yes           ,Low       ,Mediocre     
Hangzhou,Hubin,Qinnanluxiaoqu,1.546,38,1,1,1,1,South   ,1.58,1993,32.1㎡          ,48162,No           ,Low           ,Mediocre     
Hangzhou,Hubin,Yangxuenong,2.25,35,3,1,1,1,East,2.75,1985,68.3㎡          ,32943,Yes           ,Mid           ,Mediocre     
Hangzhou,Hubin,Jishanfangxiang,2,47,2,1,1,1,South   ,2.45,1997,51.85㎡          ,38573,No           ,Mid           ,Mediocre     
Hangzhou,Hubin,Yongjinguangchangjujinge,3.1,99,2,1,1,1,West  ,3.2,1995,49.62㎡          ,62475,Yes           ,High           ,Fine     
Hangzhou,Hubin,Guangfulu,2.73,6,2,1,1,1,East   ,2.83,1983,42.26㎡          ,64601,No           ,High           ,Mediocre     
Hangzhou,Hubin,Qingnianli,2.266,647,2,1,1,1,South   ,2.5,1985,63.5㎡          ,35686,No           ,High           ,Mediocre     
Hangzhou,Hubin,Dongyangxuenong,2.89,157,3,1,1,1,South   ,2.98,1985,66.44㎡          ,43498,No           ,High           ,Mediocre     
Hangzhou,Hubin,Gaungfuluxiaoqu,2.86,176,2,1,1,1,South ,3.05,1988,69.62㎡          ,41081,No           ,Low           ,Mediocre     
Hangzhou,Hubin,Dongpinxiangxiaoqu,1.89,52,2,1,1,1,West ,2,2000,45.7㎡          ,41357,No           ,High           ,Mediocre     
Hangzhou,Hubin,Qinnanluxiaoqu,2,69,2,1,1,1,South  ,2.45,1993,50.7㎡          ,39448,No           ,Low           ,Mediocre     
Hangzhou,Hubin,Qinnanluxiaoqu,1.31,11,1,1,1,1,South   ,1.43,1993,29.65㎡          ,44183,No           ,Mid           ,None     
Hangzhou,Hubin,Kuihengxiang,3.65,160,3,1,1,1,South   ,3.65,2000,78.58㎡          ,46450,Yes           ,Mid           ,None     
